"id","name","type","description","img","iconx","icony"
"158","Q-Tips","68",,"0","13","4"
"159","Church & Dwight Co.","68",,"0","14","4"
"160","Pepsodent","68",,"0","15","4"
"161","Close-Up","68",,"0","16","4"
"162","Sir Kensington's","69",,"0","17","4"
"163","Dollar Shave Club","68",,"0","18","4"
"164","Lux","68",,"0","19","4"
"165","The Kraft Heinz Company","19",,"0","11","5"
"166","Kraft Foods","19",,"0","10","5"
"167","H. J. Heinz Company","19",,"0","12","5"
"168","Boca Foods Company","70",,"0","13","5"
"169","Jell-O","71",,"0","14","5"
"170","Planters","27",,"0","15","5"
"171","Barstool Sports","72",,"0",NULL,NULL
"172","The Walt Disney Company","73",,"0","0","10"
"173","Marvel Entertainment","74",,"0","1","10"
"174","Walt Disney Studios","75",,"0","0","10"
"175","Marvel Studios","75",,"0","1","10"
"176","Pixar Animation Studios","75",,"0","2","10"
"177","Lucasfilm","75",,"0","3","10"
"178","LucasArts Entertainment Company","76",,"0","13","10"
"179","20th Century Studios","75",,"0","4","10"
"180","20th Century Animation","75",,"0","11","10"
"181","Blue Sky Studios","75",,"0","12","10"
"182","American Broadcasting Company","77",,"0","5","10"
"183","Walt Disney Television","73",,"0","0","10"
"184","FX","77",,"0","6","10"
"185","National Geographic Society","78",,"0","18","10"
"186","National Geographic Partners","77",,"0","18","10"
"187","Comcast Corporation","79",,"0","8","10"
"188","NBCUniversal Media","73",,"0","9","10"
"189","Hulu","80",,"0","7","10"
"190","Disney Media Networks","73",,"0","0","10"
"191","ESPN","73",,"0","10","10"
"192","Movies Anywhere","46",,"0","16","10"
"193","Star India Private Limited","73",,"0","17","10"
"194","Disney Music Group","81",,"0","0","10"
"195","Hollywood Records","82",,"0","14","10"
"196","Fox Music","82",,"0","15","10"
"197","Fox Television Animation","83",,"0","19","10"
"198","Naspers Limited","84",,"0","16","5"
"199","Prosus","84",,"0","17","5"
"200","Tencent Holdings","73",,"0","18","5"
"201","Funcom Oslo AS","50",,"0","19","5"
"202","Grinding Gear Games","50",,"0","10","6"
"203","Miniclip","50",,"0","11","6"
"204","Riot Games","50",,"0","12","6"
"205","TiMi Studios","50",,"0","13","6"
"206","Jeff Bezos","85",,"0","14","6"
"207","The Washington Post","86",,"0","15","6"
"208","Advance Publications","87",,"0","18","6"
"209","Condé Nast","87",,"0","16","6"
"210","Bon Appétit","88",,"0","11","8"
"211","The New Yorker","89",,"0","11","7"
"212","Allure","89",,"0","12","7"
"213","Architectural Digest","89",,"0","13","7"
"214","Ars Technica","90",,"0","14","7"
"215","Wired","89",,"0","15","7"
"216","Glamour","89",,"0","16","7"
"217","them.","89",,"0","17","7"
"218","GQ","89",,"0","18","7"
"219","Vanity Fair","89",,"0","19","7"
"220","Vogue","89",,"0","10","8"
"221","epicurious","88",,"0","10","7"
"222","Teen Vogue","89",,"0","19","6"
"223","Pitchfork","91",,"0","17","6"
"224","Gerber Products Company","92",,"0","13","8"
"225","Maggi","19",,"0","14","8"
"226","Nestlé Purina PetCare","93",,"0","15","8"
"227","General Mills","19",,"0","16","8"
"228","Yoplait","243",,"0","17","8"
"229","Totino's","94",,"0","18","8"
"231","Pillsbury","96",,"0","19","8"
"232","Nature Valley","27",,"0","10","9"
"233","Old El Paso","98",,"0","11","9"
"234","Progresso","99",,"0","12","9"
"235","Annie's Homegrown","100",,"0","13","9"
"236","Betty Crocker","96",,"0","14","9"
"237","Gold Medal Flour","96",,"0","15","9"
"238","Wanchai Ferry","101",,"0","16","9"
"239","PAI Partners","64",,"0","19","9"
"240","Froneri","67",,"0","17","9"
"241","Häagen-Dazs","67",,"0","18","9"
"242","MiO","26",,"0","0","11"
"243","Oscar Mayer","233",,"0","1","11"
"244","Ore-Ida","94",,"0","2","11"
"245","Dreyer's Grand Ice Cream Holdings","67",,"0","3","11"
"246","Mövenpick Ice Cream","67",,"0","4","11"
"247","Hot Pockets","94",,"0","5","11"
"248","Stouffer's","94",,"0","6","11"
"249","DiGiorno","249",,"0","7","11"
"250","Nestlé Waters","20",,"0","11","11"
"251","S.Pellegrino","20",,"0","8","11"
"252","Perrier","20",,"0","9","11"
"253","Poland Spring","20",,"0","10","11"
